                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8887,                 4.4392,                 3.0477,                  3.917,                0.36837,                0.36108,                 0.3156,                0.10372,                0.38048,                0.36108,                 0.3198,                0.11272,                      0,                      0,                    inf,                      0,               0.070173,              0.0033141,              0.0033141
                      1,                 2.1498,                 2.7138,                 1.9261,                 2.8883,                0.85621,                0.77667,                0.88754,                0.49719,                0.84807,                0.77466,                0.87956,                0.50282,                      0,                      0,                    inf,                      0,               0.040042,              0.0065158,              0.0065158
                      2,                 1.5703,                 2.2619,                 1.4115,                 2.2654,                0.85295,                0.87653,                0.92148,                0.62628,                0.85089,                0.87441,                0.91915,                  0.595,                      0,                      0,                    inf,                      0,              0.0097782,              0.0095855,              0.0095855
                      3,                 1.2879,                 1.9303,                 1.1027,                 1.9563,                0.91495,                0.90721,                 0.9605,                0.70114,                0.91548,                0.90774,                0.96046,                 0.6946,                      0,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      4,                 1.0997,                 1.6771,                0.91566,                  1.743,                0.92345,                0.86345,                0.94621,                0.70918,                0.92485,                0.86129,                0.94156,                0.70147,                      0,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      5,                0.98874,                 1.5084,                0.80058,                 1.6198,                0.92839,                0.91432,                 0.9556,                0.75886,                0.92656,                0.91676,                0.95649,                0.76291,                      0,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                      6,                0.92759,                 1.3868,                0.73798,                 1.5589,                0.94307,                0.95705,                0.97923,                0.79602,                0.94491,                  0.955,                0.97916,                0.81418,                      0,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                      7,                0.87883,                 1.3319,                0.69484,                 1.5034,                0.96179,                0.92079,                0.97976,                0.80814,                0.96123,                0.92026,                0.97957,                0.81714,                      0,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                      8,                0.84762,                 1.2964,                0.66133,                 1.4659,                0.95488,                0.96288,                0.98317,                0.82927,                0.95336,                0.96501,                0.98329,                0.83612,                      0,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                      9,                0.81488,                 1.2349,                0.63157,                 1.4335,                0.95585,                0.95917,                0.98255,                0.82742,                0.95638,                 0.9597,                0.98274,                0.83344,                      0,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     10,                0.79488,                 1.2091,                0.62286,                 1.4216,                0.90589,                0.90852,                0.96414,                0.82487,                0.90589,                0.90852,                0.96414,                0.83273,                      0,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
